start_point,10^-2,10^-3,10^-4,10^-5,10^-7,10^-10,10^-15
-1.2,0.4301597090019468,0.4301597077612656,0.4301597077612656,0.4301320473116016,0.4265838054839194,0.4033134688958811,0.2705245695255163
-1.1,0.4301597090019384,0.4301597090019384,0.43015963733796475,0.4299512667240607,0.42165412381124034,0.3915837928530562,0.3036700754360659
-1.0,0.4301597090019467,0.43015970899901224,0.43015836201436364,0.4292830050945464,0.4292830050945464,0.38006926749142844,0.2894671258582935
-0.9,0.4301597090019468,0.4301597087988492,0.4301597087988492,0.4301485083718003,0.4277825280456882,0.36944654000156535,0.27678196603378263
-0.8,0.43015970900194667,0.4301597047493226,0.4301597047493226,0.4301085536924722,0.4254731668960632,0.40016075773005083,0.2659075030282561
-0.7,0.4301597090019447,0.4301597090019447,0.4301596738320804,0.43001325999081913,0.42281711090902274,0.39394409075329473,0.3066748069584098
-0.6,0.4301597090019171,0.4301597090019171,0.4301595735623583,0.42987418328691673,0.42987418328691673,0.38934348368823557,0.3008532276203107
-0.5,0.4301597090019467,0.4301597090018331,0.43015944384845156,0.42976226757730823,0.42976226757730823,0.3868348405568707,0.29773388687757674
-0.4,0.4301597090019468,0.43015970900183303,0.43015944384222715,0.4297622629961701,0.4297622629961701,0.38683475016056923,0.297733775076242
-0.3,0.4301597090019225,0.4301597090019225,0.43015958672312865,0.42988823265398524,0.42988823265398524,0.38971193150264805,0.3013143512387437
-0.2,0.43015970900194606,0.43015970900194606,0.43015968913843156,0.4300494606969337,0.4236444857089558,0.39573603032858995,0.3089851799563996
-0.1,0.4301597090019467,0.4301597083591112,0.4301597083591112,0.43013979038822464,0.42707232618085844,0.4048709686078818,0.2728657623648545
0.0,0.4301597090019467,0.43015970900069783,0.43015883025112717,0.4294464531810831,0.4294464531810831,0.3819506588535767,0.29174762466450244
0.1,0.4301597090019467,0.43015970671089077,0.43015970671089077,0.43012213727476,0.42606509206543675,0.40178343463453114,0.2682651105650164
0.2,0.43015970900193595,0.43015970900193595,0.4301596272500339,0.4299372250447137,0.4214215843414879,0.39113065355294674,0.30309772759937526
0.3,0.43015970900190365,0.43015970900190365,0.43015954568956977,0.4298465786453739,0.4298465786453739,0.3886600589118606,0.30000000000000004
0.4,0.4301597090019467,0.4301597044881641,0.4301597044881641,0.43010701021453124,0.42541219689636517,0.40000000000000013,0.40000000000000013
0.5,0.4301597090019467,0.4301597089977429,0.43015809682723855,0.43015809682723855,0.4312128278489985,0.5000000000000002,0.5000000000000002
0.6,0.4301597090019456,0.4301597090019456,0.43015968252124775,0.4302884692473659,0.4302884692473659,0.4866435237258411,0.6000000000000001
0.7,0.4301597090019467,0.43015970885780985,0.43015970885780985,0.43015027242800175,0.43299313140494233,0.46178269605960504,0.630000160010397
0.8,0.4301597090019467,0.43015970796865066,0.43015970796865066,0.4301344619261223,0.43746824581923605,0.47368984165532574,0.5832029894131519
