start_pair,10^-2,10^-3,10^-4,10^-5,10^-7,10^-10,10^-15
"(-1.2, -0.1)",0.4301597090019451,0.43015970839331136,0.4301580396712297,0.4299366521336131,0.42628602076586525,0.38841819289128204,0.2958763916030264
"(-1.2, -0.2)",0.43015970900194667,0.43015970891008415,0.4301591909553634,0.43005062941079597,0.42755876861906017,0.3932101105006826,0.26776882224517584
"(-1.2, -0.3)",0.4301597090019467,0.43015970900004197,0.4301596616799273,0.430134848167836,0.4290435147524911,0.37477176956994684,0.2791781178580702
"(-1.2, -0.4)",0.43015970900194384,0.43015970814353216,0.43015764332158585,0.42990584915260244,0.42599988487823215,0.3874819417280453,0.2947034035732951
"(-1.2, -0.5)",0.4301597090019468,0.4301597090005436,0.430159669813078,0.4301375927420022,0.42122294969816076,0.37545447483447303,0.2799985755367826
"(-1.2, -0.6)",0.43015970900194667,0.43015970893194766,0.4301592710780851,0.4300613326546887,0.4277055892532383,0.3938526090214984,0.2686377871097109
"(-1.2, -0.7)",0.43015970900194445,0.43015970825606487,0.43015781556551175,0.42991891198814597,0.4261190999895217,0.38786713580638643,0.2951845733214248
"(-1.2, -0.8)",0.43015970900193096,0.43015970654255675,0.43015574187315164,0.4297832101397571,0.42499821403165483,0.38447908823229626,0.2909781835205735
"(-1.2, -0.9)",0.43015970900192646,0.43015970612723803,0.4301553386677996,0.42976066203199803,0.42483214614954323,0.3840155422558237,0.2904068744033619
"(-1.2, -1.0)",0.4301597090019422,0.43015970786804025,0.4301572544211246,0.4298778845943851,0.42575409159711936,0.38670830836478526,0.29373942852144563
"(-1.2, -1.1)",0.4301597090019466,0.4301597088833948,0.4301591024645354,0.4300395396451638,0.4274135310141782,0.39259711930306634,0.26694439132296616
"(-1.2, 0.0)",0.4301597090019449,0.4301597083474088,0.43015796275917234,0.42993046274980773,0.4262270555722897,0.3882214418821752,0.29564176025211353
"(-1.2, 0.1)",0.43015970900194667,0.43015970892344013,0.4301592388876033,0.430056952733985,0.427644456661122,0.3935788479477332,0.2680353321796166
"(-1.2, 0.2)",0.4301597090019468,0.43015970900168093,0.4301596949542148,0.4294419275415463,0.4228494115543529,0.3790822936177442,0.282717260570725
"(-1.2, 0.3)",0.4301597090019467,0.4301597089979547,0.4301596346308548,0.4301265695904004,0.4288553081864955,0.37174966135737886,0.30000000000000004
"(-1.2, 0.4)",0.43015970900189976,0.4301597037350016,0.4301541892681034,0.4295855770763396,0.42541219770015565,0.40000000000000013,0.40000000000000013
"(-1.2, 0.5)",0.4301597090019469,0.430159709137488,0.43015893141001965,0.43026805369709487,0.43668422528521605,0.5000000000000002,0.5000000000000002
"(-1.2, 0.6)",0.4301597090019467,0.4301597090021529,0.4301520832555854,0.4301520832555854,0.4316160187098212,0.47143208590745533,0.6000000000000001
"(-1.2, 0.7)",0.4301597090019467,0.4301597090020486,0.430155186252611,0.430155186252611,0.43227847098620126,0.47547081329452545,0.6299999835593856
"(-1.2, 0.8)",0.4301597090019467,0.4301597090021189,0.4301520358262064,0.4301520358262064,0.43134425089807144,0.47005531875736173,0.626574092021877
"(0.8, -0.1)",0.4301597090019467,0.4301597090228615,0.43015944326952044,0.4302084914114544,0.4344055833844974,0.4838426437868688,0.6008420524658208
"(0.8, -0.2)",0.4301597090019734,0.4301597127855248,0.4301553467450952,0.4307104602948177,0.4307104602948177,0.497491619523814,0.6181526193835908
"(0.8, -0.3)",0.4301597090019467,0.4301597090020534,0.4301529360539351,0.43108994581677135,0.43108994581677135,0.501938112809207,0.6237162911474785
"(0.8, -0.4)",0.4301597090019467,0.4301597090020947,0.43015230249793346,0.43015230249793346,0.431247248830578,0.4693392660224423,0.6255407579180943
"(0.8, -0.5)",0.4301597090019467,0.43015970900210965,0.4301521288147674,0.4301521288147674,0.43130616746236244,0.4697790135578771,0.6261757922572045
"(0.8, -0.6)",0.4301597090019467,0.4301597090021152,0.4301520721979502,0.4301520721979502,0.4313285949528441,0.4699424547902212,0.6264114546388898
"(0.8, -0.7)",0.4301597090019467,0.4301597090021173,0.43015205115549443,0.43015205115549443,0.4313375152160824,0.4700068830283274,0.626504299275352
"(0.8, -0.8)",0.4301597090019467,0.4301597090021182,0.43015204262221796,0.43015204262221796,0.43134123853132655,0.47003367961792963,0.626542905850211
"(0.8, -0.9)",0.4301597090019467,0.43015970900211853,0.43015203893838166,0.43015203893838166,0.43134286610544487,0.47004537563163495,0.6265597550006557
"(0.8, -1.0)",0.4301597090019467,0.43015970900211875,0.43015203726743606,0.43015203726743606,0.4313436084921864,0.4700507070011658,0.6265674349885827
"(0.8, -1.1)",0.4301597090019468,0.4301597090021188,0.4301520364771851,0.4301520364771851,0.4313439605053869,0.47005323417088063,0.6265710753766066
"(0.8, -1.2)",0.4301597090019467,0.43015970900211886,0.430152036089504,0.430152036089504,0.4313441334112692,0.4700544753126794,0.6265728632246632
"(0.8, 0.0)",0.4301597090019467,0.43015970900213096,0.4301650882151707,0.4301650882151707,0.432976642655696,0.47863617343017173,0.5955740522358282
"(0.8, 0.1)",0.4301597090019468,0.4301597090021588,0.43015150897839255,0.43015150897839255,0.4314434931970499,0.5012729241461774,0.5600694229102039
"(0.8, 0.2)",0.4301597090019464,0.4301597087583303,0.43015877968565097,0.429998852236858,0.42706635896121,0.39313375633874603,0.3480835510545317
"(0.8, 0.3)",0.43015970900193434,0.4301597068871737,0.430156085788003,0.4298048700461701,0.4251294010910619,0.3844915896563485,0.30000000000000004
"(0.8, 0.4)",0.4301597090019186,0.4301597051786207,0.43015515574938695,0.42965286876599107,0.4256690119932797,0.40000000000000013,0.40000000000000013
"(0.8, 0.5)",0.4301597090019468,0.4301597090662914,0.4301591894610587,0.4302365739886052,0.4360106727216968,0.5000000000000002,0.5000000000000002
"(0.8, 0.6)",0.43015970900200934,0.4301597157342751,0.43015395652234145,0.4309101847220028,0.4309101847220028,0.5012654342852545,0.6000000000000001
"(0.8, 0.7)",0.43015970900195166,0.43015971024932725,0.4301572530174558,0.4304786059361273,0.4380414729863329,0.4935511840659613,0.6124013380456564
