n,error_max,cond,time_s,memory_kb
2,0.000000e+00,3.000000e+00,1.451250e-04,4.804688e+00
7,2.145767e-06,5.457142e+01,5.341250e-04,5.625000e+00
12,9.298325e-06,1.668224e+02,1.281458e-03,6.640625e+00
17,1.627207e-05,3.397257e+02,2.505542e-03,7.851562e+00
22,1.811981e-05,5.732798e+02,4.017459e-03,9.257812e+00
27,1.585484e-05,8.674867e+02,5.885500e-03,1.085938e+01
32,2.193451e-05,1.222344e+03,7.658750e-03,1.265625e+01
37,2.145767e-05,1.637851e+03,1.021504e-02,1.464844e+01
42,4.732609e-05,2.114013e+03,1.316525e-02,1.683594e+01
47,4.291534e-05,2.650805e+03,1.610413e-02,1.921875e+01
52,4.792213e-05,3.248270e+03,1.956988e-02,2.179688e+01
57,3.755093e-05,3.906397e+03,2.310633e-02,2.591016e+01
62,9.578466e-05,4.625201e+03,2.716450e-02,3.057812e+01
67,1.125336e-04,5.404585e+03,3.182362e-02,3.563672e+01
72,1.253486e-04,6.244668e+03,3.777917e-02,4.108594e+01
77,1.765490e-04,7.145402e+03,4.379958e-02,4.692578e+01
82,1.857877e-04,8.106783e+03,4.859362e-02,5.315625e+01
87,1.379848e-04,9.128805e+03,5.287813e-02,5.977734e+01
92,2.326965e-04,1.021147e+04,5.842933e-02,6.678906e+01
97,1.828671e-04,1.135502e+04,6.696554e-02,7.419141e+01
102,2.133250e-04,1.255888e+04,7.358850e-02,8.198438e+01
107,1.752377e-04,1.382391e+04,8.001854e-02,9.016797e+01
112,2.148151e-04,1.514889e+04,9.086263e-02,9.874219e+01
117,4.045963e-04,1.653500e+04,9.583571e-02,1.077070e+02
122,2.648830e-04,1.798196e+04,1.043496e-01,1.170625e+02
127,2.442002e-04,1.948958e+04,1.125978e-01,1.268086e+02
132,3.834963e-04,2.105776e+04,1.201986e-01,1.369453e+02
137,4.678369e-04,2.268621e+04,1.303260e-01,1.474727e+02
142,9.601116e-04,2.437617e+04,1.397596e-01,1.583906e+02
147,7.449985e-04,2.612580e+04,1.498098e-01,1.696992e+02
