n,error_max,cond,time_s,memory_kb
10,1.110223e-16,,1.246670e-04,1.117188e+00
50,1.110223e-16,,5.195000e-04,3.523438e+00
100,2.220446e-16,,1.043084e-03,6.648438e+00
200,2.220446e-16,,2.036958e-03,1.289844e+01
300,2.220446e-16,,3.341917e-03,1.914844e+01
400,2.220446e-16,,4.322333e-03,2.539844e+01
500,2.220446e-16,,5.377834e-03,3.164844e+01
