n,error_max,cond,time_s,memory_kb
10,2.220446e-16,,1.338340e-04,1.117188e+00
50,2.220446e-16,,6.075840e-04,3.523438e+00
100,3.330669e-16,,1.090291e-03,6.648438e+00
200,3.330669e-16,,2.164083e-03,1.289844e+01
300,3.330669e-16,,3.416334e-03,1.914844e+01
400,3.330669e-16,,4.768208e-03,2.539844e+01
500,4.440892e-16,,5.741834e-03,3.164844e+01
