n,error_max,cond,time_s,memory_kb
2,0.000000e+00,3.000000e+00,1.269590e-04,4.843750e+00
4,4.440892e-16,1.650000e+01,2.382500e-04,5.218750e+00
6,2.664535e-15,3.966667e+01,4.061670e-04,5.656250e+00
8,3.552714e-15,7.241667e+01,6.837920e-04,6.156250e+00
10,6.661338e-15,1.147286e+02,9.684580e-04,6.718750e+00
12,8.437695e-15,1.668222e+02,1.371333e-03,7.343750e+00
14,2.176037e-14,2.288870e+02,1.727625e-03,8.031250e+00
16,1.576517e-14,3.005282e+02,2.152083e-03,8.781250e+00
18,3.286260e-14,3.817363e+02,2.849250e-03,9.593750e+00
20,4.052314e-14,4.725052e+02,3.191125e-03,1.046875e+01
22,3.641532e-14,5.732795e+02,4.160625e-03,1.140625e+01
24,2.287059e-14,6.838331e+02,4.656292e-03,1.240625e+01
26,3.474998e-14,8.039526e+02,5.387125e-03,1.346875e+01
28,3.319567e-14,9.336338e+02,6.191958e-03,1.459375e+01
30,6.394885e-14,1.072874e+03,7.071250e-03,1.578125e+01
32,5.861978e-14,1.222337e+03,7.864083e-03,1.703125e+01
34,6.883383e-14,1.381372e+03,8.956750e-03,1.863281e+01
36,7.371881e-14,1.549969e+03,1.004271e-02,2.083594e+01
38,8.104628e-14,1.728125e+03,1.114275e-02,2.316406e+01
40,8.015810e-14,1.916040e+03,1.227813e-02,2.561719e+01
42,7.283063e-14,2.113993e+03,1.359304e-02,2.819531e+01
44,7.638334e-14,2.321507e+03,1.470954e-02,3.089844e+01
46,1.245670e-13,2.538581e+03,1.608725e-02,3.372656e+01
48,1.110223e-13,2.765213e+03,1.758562e-02,3.667969e+01
50,1.940670e-13,3.001815e+03,1.881133e-02,3.975781e+01
52,1.998401e-13,3.248247e+03,2.052546e-02,4.296094e+01
54,2.007283e-13,3.504239e+03,2.217375e-02,4.628906e+01
56,1.709743e-13,3.769790e+03,2.386942e-02,4.974219e+01
58,1.758593e-13,4.044898e+03,2.586679e-02,5.332031e+01
60,1.709743e-13,4.330189e+03,2.718083e-02,5.702344e+01
62,2.002842e-13,4.625100e+03,2.887650e-02,6.085156e+01
64,1.897371e-13,4.929569e+03,3.073137e-02,6.480469e+01
66,1.811884e-13,5.243597e+03,3.299096e-02,6.888281e+01
68,1.869616e-13,5.567332e+03,3.509525e-02,7.308594e+01
70,1.860734e-13,5.901162e+03,3.696258e-02,7.741406e+01
72,2.206013e-13,6.244550e+03,4.065508e-02,8.186719e+01
74,2.586820e-13,6.597497e+03,4.445462e-02,8.644531e+01
76,2.594591e-13,6.960001e+03,4.349104e-02,9.114844e+01
78,2.639000e-13,7.332424e+03,4.582446e-02,9.597656e+01
80,2.886580e-13,7.714733e+03,4.823042e-02,1.009297e+02
82,3.035350e-13,8.106599e+03,5.091558e-02,1.060078e+02
84,4.356515e-13,8.508023e+03,5.394050e-02,1.112109e+02
86,4.598544e-13,8.919004e+03,5.547533e-02,1.165391e+02
88,4.948264e-13,9.340116e+03,5.836854e-02,1.219922e+02
90,6.760148e-13,9.770903e+03,6.083517e-02,1.275703e+02
92,6.887824e-13,1.021125e+04,6.708533e-02,1.332734e+02
94,5.853096e-13,1.066115e+04,6.600462e-02,1.391016e+02
96,5.999645e-13,1.112070e+04,6.830942e-02,1.450547e+02
98,5.403455e-13,1.159041e+04,7.204404e-02,1.511328e+02
100,6.348255e-13,1.206967e+04,7.527725e-02,1.573359e+02
102,6.008527e-13,1.255849e+04,7.771221e-02,1.636641e+02
104,6.585843e-13,1.305687e+04,8.147700e-02,1.701172e+02
106,6.252776e-13,1.356511e+04,8.636542e-02,1.766953e+02
108,6.115108e-13,1.408330e+04,8.705504e-02,1.833984e+02
110,5.304646e-13,1.461104e+04,8.989671e-02,1.902266e+02
112,6.283862e-13,1.514834e+04,9.311929e-02,1.971797e+02
114,6.618039e-13,1.569519e+04,9.672188e-02,2.042578e+02
116,6.226131e-13,1.625212e+04,1.006717e-01,2.114609e+02
118,6.721290e-13,1.681878e+04,1.041253e-01,2.187891e+02
120,6.502576e-13,1.739500e+04,1.078194e-01,2.262422e+02
122,6.442624e-13,1.798078e+04,1.120953e-01,2.338203e+02
124,7.125411e-13,1.857615e+04,1.149975e-01,2.415234e+02
126,6.695755e-13,1.918173e+04,1.193740e-01,2.493516e+02
128,6.896705e-13,1.979687e+04,1.214967e-01,2.573047e+02
130,7.496226e-13,2.042156e+04,1.252230e-01,2.653828e+02
132,7.451817e-13,2.105582e+04,1.294232e-01,2.735859e+02
134,7.978063e-13,2.169988e+04,1.352045e-01,2.819141e+02
136,1.062705e-12,2.235394e+04,1.383779e-01,2.903672e+02
138,1.314948e-12,2.301755e+04,1.414504e-01,2.989453e+02
140,9.801049e-13,2.369073e+04,1.461326e-01,3.076484e+02
142,1.183498e-12,2.437345e+04,1.505120e-01,3.164766e+02
144,1.401546e-12,2.506621e+04,1.548763e-01,3.254297e+02
146,8.637535e-13,2.576874e+04,1.572805e-01,3.345078e+02
148,8.415491e-13,2.648084e+04,1.626530e-01,3.437109e+02
150,9.010570e-13,2.720249e+04,1.682250e-01,3.530391e+02
