start_point,rho,iterations,final_x,error,alert
-1.2,0.01,21,0.4301320473116016,2.7661690345126555e-05,Brak
-1.2,0.001,22,0.4301597077612656,1.2406811134013651e-09,Brak
-1.2,0.0001,22,0.4301597077612656,1.2406811134013651e-09,Brak
-1.2,1e-05,23,0.4301597090019468,5.551115123125783e-17,Brak
-1.2,1e-06,23,0.4301597090019468,5.551115123125783e-17,Brak
-1.2,1e-07,23,0.4301597090019468,5.551115123125783e-17,Brak
-1.2,1e-08,23,0.4301597090019468,5.551115123125783e-17,Brak
-1.2,1e-09,24,0.4301597090019467,0.0,Brak
-1.1,0.01,20,0.4299512667240607,0.00020844227788602288,Brak
-1.1,0.001,21,0.43015963733796475,7.166398197089308e-08,Brak
-1.1,0.0001,22,0.4301597090019384,8.326672684688674e-15,Brak
-1.1,1e-05,22,0.4301597090019384,8.326672684688674e-15,Brak
-1.1,1e-06,22,0.4301597090019384,8.326672684688674e-15,Brak
-1.1,1e-07,22,0.4301597090019384,8.326672684688674e-15,Brak
-1.1,1e-08,23,0.4301597090019467,0.0,Brak
-1.1,1e-09,23,0.4301597090019467,0.0,Brak
-1.0,0.01,20,0.43015836201436364,1.3469875830840472e-06,Brak
-1.0,0.001,20,0.43015836201436364,1.3469875830840472e-06,Brak
-1.0,0.0001,21,0.43015970899901224,2.9344859875379825e-12,Brak
-1.0,1e-05,21,0.43015970899901224,2.9344859875379825e-12,Brak
-1.0,1e-06,22,0.4301597090019467,0.0,Brak
-1.0,1e-07,22,0.4301597090019467,0.0,Brak
-1.0,1e-08,22,0.4301597090019467,0.0,Brak
-1.0,1e-09,22,0.4301597090019467,0.0,Brak
-0.9,0.01,19,0.4301485083718003,1.1200630146424029e-05,Brak
-0.9,0.001,20,0.4301597087988492,2.0309753878677839e-10,Brak
-0.9,0.0001,20,0.4301597087988492,2.0309753878677839e-10,Brak
-0.9,1e-05,21,0.4301597090019468,5.551115123125783e-17,Brak
-0.9,1e-06,21,0.4301597090019468,5.551115123125783e-17,Brak
-0.9,1e-07,21,0.4301597090019468,5.551115123125783e-17,Brak
-0.9,1e-08,21,0.4301597090019468,5.551115123125783e-17,Brak
-0.9,1e-09,21,0.4301597090019468,5.551115123125783e-17,Brak
-0.8,0.01,18,0.4301085536924722,5.115530947452651e-05,Brak
-0.8,0.001,19,0.4301597047493226,4.252624141720673e-09,Brak
-0.8,0.0001,19,0.4301597047493226,4.252624141720673e-09,Brak
-0.8,1e-05,20,0.43015970900194667,5.551115123125783e-17,Brak
-0.8,1e-06,20,0.43015970900194667,5.551115123125783e-17,Brak
-0.8,1e-07,20,0.43015970900194667,5.551115123125783e-17,Brak
-0.8,1e-08,20,0.43015970900194667,5.551115123125783e-17,Brak
-0.8,1e-09,21,0.4301597090019467,0.0,Brak
-0.7,0.01,17,0.43001325999081913,0.0001464490111275918,Brak
-0.7,0.001,18,0.4301596738320804,3.516986629703567e-08,Brak
-0.7,0.0001,19,0.4301597090019447,1.9984014443252818e-15,Brak
-0.7,1e-05,19,0.4301597090019447,1.9984014443252818e-15,Brak
-0.7,1e-06,19,0.4301597090019447,1.9984014443252818e-15,Brak
-0.7,1e-07,19,0.4301597090019447,1.9984014443252818e-15,Brak
-0.7,1e-08,20,0.4301597090019468,5.551115123125783e-17,Brak
-0.7,1e-09,20,0.4301597090019468,5.551115123125783e-17,Brak
-0.6,0.01,16,0.42987418328691673,0.00028552571502998836,Brak
-0.6,0.001,17,0.4301595735623583,1.3543958843342807e-07,Brak
-0.6,0.0001,18,0.4301597090019171,2.964295475749168e-14,Brak
-0.6,1e-05,18,0.4301597090019171,2.964295475749168e-14,Brak
-0.6,1e-06,18,0.4301597090019171,2.964295475749168e-14,Brak
-0.6,1e-07,19,0.4301597090019467,0.0,Brak
-0.6,1e-08,19,0.4301597090019467,0.0,Brak
-0.6,1e-09,19,0.4301597090019467,0.0,Brak
-0.5,0.01,16,0.43015944384845156,2.651534951603196e-07,Brak
-0.5,0.001,16,0.43015944384845156,2.651534951603196e-07,Brak
-0.5,0.0001,17,0.4301597090018331,1.1363132657038477e-13,Brak
-0.5,1e-05,17,0.4301597090018331,1.1363132657038477e-13,Brak
-0.5,1e-06,17,0.4301597090018331,1.1363132657038477e-13,Brak
-0.5,1e-07,18,0.4301597090019467,0.0,Brak
-0.5,1e-08,18,0.4301597090019467,0.0,Brak
-0.5,1e-09,18,0.4301597090019467,0.0,Brak
-0.4,0.01,15,0.43015944384222715,2.65159719570196e-07,Brak
-0.4,0.001,15,0.43015944384222715,2.65159719570196e-07,Brak
-0.4,0.0001,16,0.43015970900183303,1.1368683772161603e-13,Brak
-0.4,1e-05,16,0.43015970900183303,1.1368683772161603e-13,Brak
-0.4,1e-06,16,0.43015970900183303,1.1368683772161603e-13,Brak
-0.4,1e-07,17,0.4301597090019468,5.551115123125783e-17,Brak
-0.4,1e-08,17,0.4301597090019468,5.551115123125783e-17,Brak
-0.4,1e-09,17,0.4301597090019468,5.551115123125783e-17,Brak
-0.3,0.01,13,0.42988823265398524,0.0002714763479614857,Brak
-0.3,0.001,14,0.43015958672312865,1.2227881807103103e-07,Brak
-0.3,0.0001,15,0.4301597090019225,2.4202861936828413e-14,Brak
-0.3,1e-05,15,0.4301597090019225,2.4202861936828413e-14,Brak
-0.3,1e-06,15,0.4301597090019225,2.4202861936828413e-14,Brak
-0.3,1e-07,16,0.4301597090019468,5.551115123125783e-17,Brak
-0.3,1e-08,16,0.4301597090019468,5.551115123125783e-17,Brak
-0.3,1e-09,16,0.4301597090019468,5.551115123125783e-17,Brak
-0.2,0.01,12,0.4300494606969337,0.00011024830501299432,Brak
-0.2,0.001,13,0.43015968913843156,1.98635151660298e-08,Brak
-0.2,0.0001,14,0.43015970900194606,6.661338147750939e-16,Brak
-0.2,1e-05,14,0.43015970900194606,6.661338147750939e-16,Brak
-0.2,1e-06,14,0.43015970900194606,6.661338147750939e-16,Brak
-0.2,1e-07,14,0.43015970900194606,6.661338147750939e-16,Brak
-0.2,1e-08,15,0.4301597090019468,5.551115123125783e-17,Brak
-0.2,1e-09,15,0.4301597090019468,5.551115123125783e-17,Brak
-0.1,0.01,11,0.43013979038822464,1.9918613722080813e-05,Brak
-0.1,0.001,12,0.4301597083591112,6.428355070475789e-10,Brak
-0.1,0.0001,12,0.4301597083591112,6.428355070475789e-10,Brak
-0.1,1e-05,13,0.4301597090019467,0.0,Brak
-0.1,1e-06,13,0.4301597090019467,0.0,Brak
-0.1,1e-07,13,0.4301597090019467,0.0,Brak
-0.1,1e-08,13,0.4301597090019467,0.0,Brak
-0.1,1e-09,13,0.4301597090019467,0.0,Brak
0.0,0.01,10,0.4301588302511271,8.787508196106408e-07,Brak
0.0,0.001,10,0.4301588302511271,8.787508196106408e-07,Brak
0.0,0.0001,11,0.43015970900069783,1.2488898804008386e-12,Brak
0.0,1e-05,11,0.43015970900069783,1.2488898804008386e-12,Brak
0.0,1e-06,11,0.43015970900069783,1.2488898804008386e-12,Brak
0.0,1e-07,12,0.4301597090019467,0.0,Brak
0.0,1e-08,12,0.4301597090019467,0.0,Brak
0.0,1e-09,12,0.4301597090019467,0.0,Brak
0.1,0.01,8,0.43012213727476,3.7571727186713755e-05,Brak
0.1,0.001,9,0.43015970671089077,2.291055956060717e-09,Brak
0.1,0.0001,9,0.43015970671089077,2.291055956060717e-09,Brak
0.1,1e-05,10,0.4301597090019467,0.0,Brak
0.1,1e-06,10,0.4301597090019467,0.0,Brak
0.1,1e-07,10,0.4301597090019467,0.0,Brak
0.1,1e-08,10,0.4301597090019467,0.0,Brak
0.1,1e-09,11,0.4301597090019468,5.551115123125783e-17,Brak
0.2,0.01,6,0.4299372250447137,0.00022248395723301062,Brak
0.2,0.001,7,0.4301596272500339,8.1751912794914e-08,Brak
