start_point1,start_point2,rho,error
0.8,-1.2,0.01,0.1964131542227165
-1.2,-1.0999999999999999,0.01,0.16321531767898056
0.8,-1.0999999999999999,0.01,0.1964113663746599
-1.2,-1.0,0.01,0.1364202804805011
0.8,-1.0,0.01,0.19640772598663597
-1.2,-0.8999999999999999,0.01,0.13975283459858484
0.8,-0.8999999999999999,0.01,0.19640004599870903
-1.2,-0.7999999999999999,0.01,0.13918152548137325
0.8,-0.7999999999999999,0.01,0.19638319684826427
-1.2,-0.7,0.01,0.13497513568052194
0.8,-0.7,0.01,0.19634459027340528
-1.2,-0.5999999999999999,0.01,0.1615219218922358
0.8,-0.5999999999999999,0.01,0.1962517456369431
-1.2,-0.4999999999999999,0.01,0.15016113346516413
0.8,-0.4999999999999999,0.01,0.19601608325525782
-1.2,-0.3999999999999999,0.01,0.1354563054286516
0.8,-0.3999999999999999,0.01,0.19538104891614755
-1.2,-0.29999999999999993,0.01,0.15098159114387655
0.8,-0.29999999999999993,0.01,0.19355658214553179
-1.2,-0.19999999999999996,0.01,0.16239088675677088
0.8,-0.19999999999999996,0.01,0.18799291038164406
-1.2,-0.09999999999999987,0.01,0.1342833173989203
0.8,-0.09999999999999987,0.01,0.17068234346387406
-1.2,2.220446049250313e-16,0.01,0.1345179487498332
0.8,2.220446049250313e-16,0.01,0.16541434323388143
-1.2,0.10000000000000009,0.01,0.1621243768223301
0.8,0.10000000000000009,0.01,0.12990971390825717
-1.2,0.20000000000000018,0.01,0.14744244843122173
0.8,0.20000000000000018,0.01,0.08207615794741502
-1.2,0.30000000000000004,0.01,0.13015970900194668
0.8,0.30000000000000004,0.01,0.13015970900194668
-1.2,0.40000000000000013,0.01,0.03015970900194659
0.8,0.40000000000000013,0.01,0.03015970900194659
-1.2,0.5000000000000002,0.01,0.0698402909980535
0.8,0.5000000000000002,0.01,0.0698402909980535
-1.2,0.6000000000000001,0.01,0.16984029099805337
0.8,0.6000000000000001,0.01,0.16984029099805337
-1.2,0.7000000000000002,0.01,0.19984027455743886
0.8,0.7000000000000002,0.01,0.18224162904370972
-1.2,0.8,0.01,0.19641438301993025
0.8,-1.2,0.001,0.03989476631073269
-1.2,-1.0999999999999999,0.001,0.03756258969888038
0.8,-1.0999999999999999,0.001,0.03989352516893391
-1.2,-1.0,0.001,0.043451400637161464
0.8,-1.0,0.001,0.03989099799921908
-1.2,-0.8999999999999999,0.001,0.04614416674612304
0.8,-0.8999999999999999,0.001,0.03988566662968823
-1.2,-0.7999999999999999,0.001,0.04568062076965046
0.8,-0.7999999999999999,0.001,0.03987397061598291
-1.2,-0.7,0.001,0.04229257319556029
0.8,-0.7,0.001,0.03984717402638066
-1.2,-0.5999999999999999,0.001,0.03630709998044834
0.8,-0.5999999999999999,0.001,0.039782745788274454
-1.2,-0.4999999999999999,0.001,0.05470523416747369
0.8,-0.4999999999999999,0.001,0.03961930455593038
-1.2,-0.3999999999999999,0.001,0.042677767273901435
0.8,-0.3999999999999999,0.001,0.03917955702049558
-1.2,-0.29999999999999993,0.001,0.05538793943199988
0.8,-0.29999999999999993,0.001,0.07177840380726025
-1.2,-0.19999999999999996,0.001,0.036949598501264114
0.8,-0.19999999999999996,0.001,0.06733191052186727
-1.2,-0.09999999999999987,0.001,0.04174151611066468
0.8,-0.09999999999999987,0.001,0.05368293478492209
-1.2,2.220446049250313e-16,0.001,0.0419382671197715
0.8,2.220446049250313e-16,0.001,0.04847646442822501
-1.2,0.10000000000000009,0.001,0.03658086105421354
0.8,0.10000000000000009,0.001,0.07111321514423069
-1.2,0.20000000000000018,0.001,0.05107741538420252
0.8,0.20000000000000018,0.001,0.03702595266320069
-1.2,0.30000000000000004,0.001,0.058410047644567864
0.8,0.30000000000000004,0.001,0.045668119345598224
-1.2,0.40000000000000013,0.001,0.03015970900194659
0.8,0.40000000000000013,0.001,0.03015970900194659
-1.2,0.5000000000000002,0.001,0.0698402909980535
0.8,0.5000000000000002,0.001,0.0698402909980535
-1.2,0.6000000000000001,0.001,0.04127237690550861
0.8,0.6000000000000001,0.001,0.07110572528330777
-1.2,0.7000000000000002,0.001,0.04531110429257873
0.8,0.7000000000000002,0.001,0.0633914750640146
-1.2,0.8,0.001,0.03989560975541501
0.8,-1.2,0.0001,0.001184424409322482
-1.2,-1.0999999999999999,0.0001,0.0027461779877684944
0.8,-1.0999999999999999,0.0001,0.0011842515034402035
-1.2,-1.0,0.0001,0.004405617404827367
0.8,-1.0,0.0001,0.0011838994902396704
-1.2,-0.8999999999999999,0.0001,0.005327562852403489
0.8,-0.8999999999999999,0.0001,0.0011831571034981447
-1.2,-0.7999999999999999,0.0001,0.005161494970291891
0.8,-0.7999999999999999,0.0001,0.0011815295293798322
-1.2,-0.7,0.0001,0.004040609012425034
0.8,-0.7,0.0001,0.0011778062141356571
-1.2,-0.5999999999999999,0.0001,0.0024541197487084054
0.8,-0.5999999999999999,0.0001,0.0011688859508973692
-1.2,-0.4999999999999999,0.0001,0.008936759303785957
0.8,-0.4999999999999999,0.0001,0.0011464584604157224
-1.2,-0.3999999999999999,0.0001,0.004159824123714573
0.8,-0.3999999999999999,0.0001,0.001087539828631301
-1.2,-0.29999999999999993,0.0001,0.0011161942494556376
0.8,-0.29999999999999993,0.0001,0.0009302368148246254
-1.2,-0.19999999999999996,0.0001,0.002600940382886552
0.8,-0.19999999999999996,0.0001,0.0005507512928709657
-1.2,-0.09999999999999987,0.0001,0.003873688236081474
0.8,-0.09999999999999987,0.0001,0.004245874382550696
-1.2,2.220446049250313e-16,0.0001,0.00393265342965704
0.8,2.220446049250313e-16,0.0001,0.0028169336537492984
-1.2,0.10000000000000009,0.0001,0.002515252340824725
0.8,0.10000000000000009,0.0001,0.0012837841951031659
-1.2,0.20000000000000018,0.0001,0.0073102974475938165
0.8,0.20000000000000018,0.0001,0.003093350040736742
-1.2,0.30000000000000004,0.0001,0.0013044008154512454
0.8,0.30000000000000004,0.0001,0.005030307910884824
-1.2,0.40000000000000013,0.0001,0.004747511301791074
0.8,0.40000000000000013,0.0001,0.0044906970086669995
-1.2,0.5000000000000002,0.0001,0.006524516283269333
0.8,0.5000000000000002,0.0001,0.00585096371975008
-1.2,0.6000000000000001,0.0001,0.0014563097078744702
0.8,0.6000000000000001,0.0001,0.0007504757200560985
-1.2,0.7000000000000002,0.0001,0.0021187619842545358
0.8,0.7000000000000002,0.0001,0.00788176398438617
-1.2,0.8,0.0001,0.0011845418961247134
0.8,-1.2,1e-05,7.672912442746593e-06
-1.2,-1.0999999999999999,1e-05,0.00012016935678293983
0.8,-1.0999999999999999,1e-05,7.672524761637156e-06
-1.2,-1.0,1e-05,0.0002818244075616372
0.8,-1.0,1e-05,7.671734510661388e-06
