start_point1,start_point2,rho,value
0.8,-1.2,0.01,0.7999968621330512
-1.2,-1.0999999999999999,0.01,0.4300395396451638
0.8,-1.0999999999999999,0.01,0.7999940103502763
-1.2,-1.0,0.01,0.4298778845943851
0.8,-1.0,0.01,0.7999882036528498
-1.2,-0.8999999999999999,0.01,0.42976066203199803
0.8,-0.8999999999999999,0.01,0.7999759537419315
-1.2,-0.7999999999999999,0.01,0.4297832101397571
0.8,-0.7999999999999999,0.01,0.7999490798466632
-1.2,-0.7,0.01,0.42991891198814597
0.8,-0.7,0.01,0.7998875098596739
-1.2,-0.5999999999999999,0.01,-0.5949031507689818
0.8,-0.5999999999999999,0.01,0.7997394770076195
-1.2,-0.4999999999999999,0.01,-0.49775334166169016
0.8,-0.4999999999999999,0.01,0.7993639642039483
-1.2,-0.3999999999999999,0.01,-0.39908970207342126
0.8,-0.3999999999999999,0.01,0.798353727270179
-1.2,-0.29999999999999993,0.01,-0.2996633065885027
0.8,-0.29999999999999993,0.01,0.795464631655534
-1.2,-0.19999999999999996,0.01,-0.19988742368992013
0.8,-0.19999999999999996,0.01,0.78677436727213
-1.2,-0.09999999999999987,0.01,-0.09996642812091498
0.8,-0.09999999999999987,0.01,0.4302084914114544
-1.2,2.220446049250313e-16,0.01,8.767259318671816e-06
0.8,2.220446049250313e-16,0.01,0.4301650882151707
-1.2,0.10000000000000009,0.01,0.10000195551467896
0.8,0.10000000000000009,0.01,0.5533919157123492
-1.2,0.20000000000000018,0.01,0.2000003598786824
0.8,0.20000000000000018,0.01,0.35516841707375996
-1.2,0.30000000000000004,0.01,0.3000000519637886
0.8,0.30000000000000004,0.01,0.4298048700461701
-1.2,0.40000000000000013,0.01,0.40000000427052884
0.8,0.40000000000000013,0.01,0.40135633579702606
-1.2,0.5000000000000002,0.01,0.4999999882499395
0.8,0.5000000000000002,0.01,0.4973332853193246
-1.2,0.6000000000000001,0.01,0.5999999204963083
0.8,0.6000000000000001,0.01,0.43015395652234145
-1.2,0.7000000000000002,0.01,0.6999996078852999
0.8,0.7000000000000002,0.01,0.4304786059361273
-1.2,0.8,0.01,0.7999984310505255
0.8,-1.2,0.001,0.7999968621330512
-1.2,-1.0999999999999999,0.001,0.4301591024645354
0.8,-1.0999999999999999,0.001,0.7999940103502763
-1.2,-1.0,0.001,0.4301572544211246
0.8,-1.0,0.001,0.7999882036528498
-1.2,-0.8999999999999999,0.001,0.4301553386677996
0.8,-0.8999999999999999,0.001,0.7999759537419315
-1.2,-0.7999999999999999,0.001,0.43015574187315164
0.8,-0.7999999999999999,0.001,0.7999490798466632
-1.2,-0.7,0.001,0.43015781556551175
0.8,-0.7,0.001,0.7998875098596739
-1.2,-0.5999999999999999,0.001,0.4301592710780851
0.8,-0.5999999999999999,0.001,0.7997394770076195
-1.2,-0.4999999999999999,0.001,0.430159669813078
0.8,-0.4999999999999999,0.001,0.7993639642039483
-1.2,-0.3999999999999999,0.001,-0.39908970207342126
0.8,-0.3999999999999999,0.001,0.798353727270179
-1.2,-0.29999999999999993,0.001,-0.2996633065885027
0.8,-0.29999999999999993,0.001,0.4301529360539351
-1.2,-0.19999999999999996,0.001,-0.19988742368992013
0.8,-0.19999999999999996,0.001,0.4301553467450952
-1.2,-0.09999999999999987,0.001,-0.09996642812091498
0.8,-0.09999999999999987,0.001,0.43015944326952044
-1.2,2.220446049250313e-16,0.001,8.767259318671816e-06
0.8,2.220446049250313e-16,0.001,0.4301596878199834
-1.2,0.10000000000000009,0.001,0.10000195551467896
0.8,0.10000000000000009,0.001,0.4301597249846494
-1.2,0.20000000000000018,0.001,0.2000003598786824
0.8,0.20000000000000018,0.001,0.43015877968565097
-1.2,0.30000000000000004,0.001,0.3000000519637886
0.8,0.30000000000000004,0.001,0.430156085788003
-1.2,0.40000000000000013,0.001,0.40000000427052884
0.8,0.40000000000000013,0.001,0.43015515574938695
-1.2,0.5000000000000002,0.001,0.4999999882499395
0.8,0.5000000000000002,0.001,0.4301591894610587
-1.2,0.6000000000000001,0.001,0.5999999204963083
0.8,0.6000000000000001,0.001,0.43015395652234145
-1.2,0.7000000000000002,0.001,0.6999996078852999
0.8,0.7000000000000002,0.001,0.4301572530174558
-1.2,0.8,0.001,0.7999984310505255
0.8,-1.2,0.0001,0.7999968621330512
-1.2,-1.0999999999999999,0.0001,0.4301597088833948
0.8,-1.0999999999999999,0.0001,0.7999940103502763
-1.2,-1.0,0.0001,0.43015970786804025
0.8,-1.0,0.0001,0.7999882036528498
-1.2,-0.8999999999999999,0.0001,0.43015970612723803
0.8,-0.8999999999999999,0.0001,0.7999759537419315
-1.2,-0.7999999999999999,0.0001,0.43015970654255675
0.8,-0.7999999999999999,0.0001,0.7999490798466632
-1.2,-0.7,0.0001,0.43015970825606487
0.8,-0.7,0.0001,0.7998875098596739
-1.2,-0.5999999999999999,0.0001,0.4301592710780851
0.8,-0.5999999999999999,0.0001,0.43015972263394847
-1.2,-0.4999999999999999,0.0001,0.430159669813078
0.8,-0.4999999999999999,0.0001,0.43015972228836297
-1.2,-0.3999999999999999,0.0001,0.43015970814353216
0.8,-0.3999999999999999,0.0001,0.43015972135350644
-1.2,-0.29999999999999993,0.0001,0.4301596616799273
0.8,-0.29999999999999993,0.0001,0.4301597187398475
-1.2,-0.19999999999999996,0.0001,0.43015970891008415
0.8,-0.19999999999999996,0.0001,0.4301597127855248
-1.2,-0.09999999999999987,0.0001,-0.09996642812091498
0.8,-0.09999999999999987,0.0001,0.43015944326952044
-1.2,2.220446049250313e-16,0.0001,8.767259318671816e-06
0.8,2.220446049250313e-16,0.0001,0.4301596878199834
-1.2,0.10000000000000009,0.0001,0.10000195551467896
0.8,0.10000000000000009,0.0001,0.4301597249846494
-1.2,0.20000000000000018,0.0001,0.2000003598786824
0.8,0.20000000000000018,0.0001,0.4301597087583303
-1.2,0.30000000000000004,0.0001,0.3000000519637886
0.8,0.30000000000000004,0.0001,0.4301597068871737
-1.2,0.40000000000000013,0.0001,0.40000000427052884
0.8,0.40000000000000013,0.0001,0.4301597051786207
-1.2,0.5000000000000002,0.0001,0.4999999882499395
0.8,0.5000000000000002,0.0001,0.4301591894610587
-1.2,0.6000000000000001,0.0001,0.5999999204963083
0.8,0.6000000000000001,0.0001,0.4301597157342751
-1.2,0.7000000000000002,0.0001,0.6999996078852999
0.8,0.7000000000000002,0.0001,0.43015971024932725
-1.2,0.8,0.0001,0.7999984310505255
0.8,-1.2,1e-05,0.7999968621330512
-1.2,-1.0999999999999999,1e-05,0.4301597088833948
0.8,-1.0999999999999999,1e-05,0.7999940103502763
-1.2,-1.0,1e-05,0.43015970786804025
0.8,-1.0,1e-05,0.7999882036528498
-1.2,-0.8999999999999999,1e-05,0.43015970612723803
0.8,-0.8999999999999999,1e-05,0.43015972285044474
-1.2,-0.7999999999999999,1e-05,0.43015970654255675
0.8,-0.7999999999999999,1e-05,0.4301597228258947
-1.2,-0.7,1e-05,0.43015970825606487
0.8,-0.7,1e-05,0.4301597227695951
-1.2,-0.5999999999999999,1e-05,0.43015970893194766
0.8,-0.5999999999999999,1e-05,0.43015972263394847
-1.2,-0.4999999999999999,1e-05,0.4301597090005436
0.8,-0.4999999999999999,1e-05,0.43015972228836297
-1.2,-0.3999999999999999,1e-05,0.43015970814353216
0.8,-0.3999999999999999,1e-05,0.43015972135350644
-1.2,-0.29999999999999993,1e-05,0.43015970900004197
0.8,-0.29999999999999993,1e-05,0.4301597187398475
-1.2,-0.19999999999999996,1e-05,0.43015970891008415
0.8,-0.19999999999999996,1e-05,0.4301597127855248
-1.2,-0.09999999999999987,1e-05,0.43015970839331136
0.8,-0.09999999999999987,1e-05,0.4301597090228615
-1.2,2.220446049250313e-16,1e-05,8.767259318671816e-06
0.8,2.220446049250313e-16,1e-05,0.4301596878199834
-1.2,0.10000000000000009,1e-05,0.10000195551467896
0.8,0.10000000000000009,1e-05,0.4301597249846494
-1.2,0.20000000000000018,1e-05,0.2000003598786824
0.8,0.20000000000000018,1e-05,0.4301597087583303
-1.2,0.30000000000000004,1e-05,0.3000000519637886
0.8,0.30000000000000004,1e-05,0.4301597068871737
-1.2,0.40000000000000013,1e-05,0.40000000427052884
0.8,0.40000000000000013,1e-05,0.4301597051786207
-1.2,0.5000000000000002,1e-05,0.4999999882499395
0.8,0.5000000000000002,1e-05,0.4301597090662914
-1.2,0.6000000000000001,1e-05,0.5999999204963083
0.8,0.6000000000000001,1e-05,0.4301597157342751
-1.2,0.7000000000000002,1e-05,0.6999996078852999
0.8,0.7000000000000002,1e-05,0.43015971024932725
-1.2,0.8,1e-05,0.7999984310505255
0.8,-1.2,1e-07,0.43015970900211886
-1.2,-1.0999999999999999,1e-07,0.4301597090019466
0.8,-1.0999999999999999,1e-07,0.4301597090021188
-1.2,-1.0,1e-07,0.4301597090019422
0.8,-1.0,1e-07,0.43015970900211875
