start_point1,start_point2,rho,iterations
0.8,0.6000000000000001,1e-10,9
-1.2,0.7000000000000002,1e-10,12
0.8,0.7000000000000002,1e-10,11
-1.2,0.8,1e-10,14
0.8,-1.2,1e-15,16
-1.2,-1.0999999999999999,1e-15,33
0.8,-1.0999999999999999,1e-15,16
-1.2,-1.0,1e-15,32
0.8,-1.0,1e-15,16
-1.2,-0.8999999999999999,1e-15,31
0.8,-0.8999999999999999,1e-15,16
-1.2,-0.7999999999999999,1e-15,30
0.8,-0.7999999999999999,1e-15,16
-1.2,-0.7,1e-15,29
0.8,-0.7,1e-15,16
-1.2,-0.5999999999999999,1e-15,28
0.8,-0.5999999999999999,1e-15,16
-1.2,-0.4999999999999999,1e-15,27
0.8,-0.4999999999999999,1e-15,16
-1.2,-0.3999999999999999,1e-15,25
0.8,-0.3999999999999999,1e-15,16
-1.2,-0.29999999999999993,1e-15,24
0.8,-0.29999999999999993,1e-15,16
-1.2,-0.19999999999999996,1e-15,22
0.8,-0.19999999999999996,1e-15,15
-1.2,-0.09999999999999987,1e-15,20
0.8,-0.09999999999999987,1e-15,15
-1.2,2.220446049250313e-16,1e-15,18
0.8,2.220446049250313e-16,1e-15,14
-1.2,0.10000000000000009,1e-15,16
0.8,0.10000000000000009,1e-15,11
-1.2,0.20000000000000018,1e-15,14
0.8,0.20000000000000018,1e-15,10
-1.2,0.30000000000000004,1e-15,11
0.8,0.30000000000000004,1e-15,10
-1.2,0.40000000000000013,1e-15,7
0.8,0.40000000000000013,1e-15,7
-1.2,0.5000000000000002,1e-15,8
0.8,0.5000000000000002,1e-15,8
-1.2,0.6000000000000001,1e-15,11
0.8,0.6000000000000001,1e-15,10
-1.2,0.7000000000000002,1e-15,13
0.8,0.7000000000000002,1e-15,12
-1.2,0.8,1e-15,15
