start_point,rho,criterion,iterations,error,status
-0.6,1e-06,inc,18,2.964295475749168e-14,0
-0.6,1e-06,res,17,1.3543958843342807e-07,0
-0.6,1e-07,inc,19,0.0,0
-0.6,1e-07,res,17,1.3543958843342807e-07,0
-0.6,1e-08,inc,19,0.0,0
-0.6,1e-08,res,17,1.3543958843342807e-07,0
-0.6,1e-09,inc,19,0.0,0
-0.6,1e-09,res,18,2.964295475749168e-14,0
-0.5,0.01,inc,16,2.651534951603196e-07,0
-0.5,0.01,res,11,0.13242582212436999,2
-0.5,0.001,inc,16,2.651534951603196e-07,0
-0.5,0.001,res,13,0.04332486844507605,0
-0.5,0.0001,inc,17,1.1363132657038477e-13,0
-0.5,0.0001,res,15,0.0003974414246384894,0
-0.5,1e-05,inc,17,1.1363132657038477e-13,0
-0.5,1e-05,res,15,0.0003974414246384894,0
-0.5,1e-06,inc,17,1.1363132657038477e-13,0
-0.5,1e-06,res,16,2.651534951603196e-07,0
-0.5,1e-07,inc,18,0.0,0
-0.5,1e-07,res,16,2.651534951603196e-07,0
-0.5,1e-08,inc,18,0.0,0
-0.5,1e-08,res,16,2.651534951603196e-07,0
-0.5,1e-09,inc,18,0.0,0
-0.5,1e-09,res,17,1.1363132657038477e-13,0
-0.4,0.01,inc,15,2.65159719570196e-07,0
-0.4,0.01,res,10,0.1324259339257048,2
-0.4,0.001,inc,15,2.65159719570196e-07,0
-0.4,0.001,res,12,0.04332495884137749,0
-0.4,0.0001,inc,16,1.1368683772161603e-13,0
-0.4,0.0001,res,14,0.0003974460057766249,0
-0.4,1e-05,inc,16,1.1368683772161603e-13,0
-0.4,1e-05,res,14,0.0003974460057766249,0
-0.4,1e-06,inc,16,1.1368683772161603e-13,0
-0.4,1e-06,res,15,2.65159719570196e-07,0
-0.4,1e-07,inc,17,5.551115123125783e-17,0
-0.4,1e-07,res,15,2.65159719570196e-07,0
-0.4,1e-08,inc,17,5.551115123125783e-17,0
-0.4,1e-08,res,15,2.65159719570196e-07,0
-0.4,1e-09,inc,17,5.551115123125783e-17,0
-0.4,1e-09,res,16,1.1368683772161603e-13,0
